Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Investment Stage,Investor Type,Primary Industry,Primary Industry URL,Industry Groups,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Lead Investors,Number of Lead Investors,Number of Investors
Storyzy,https://www.crunchbase.com/organization/trooclick,,"Advertising, Advertising Platforms, Journalism, Machine Learning, Marketing, Natural Language Processing, News, Search Engine, Semantic Search, Software","Paris, Ile-de-France, France",Storyzy is an ad tech company that offers a solution for brands to exclude their ads from fake news and inappropriate context.,"142,127","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2012-11-02,day,,,,,For Profit,http://storyzy.com,"Storyzy is an independent ad-tech start-up created in 2012 specializing in automated unique quote extraction (+50,000 daily, 25M in database) to detect Fake News in real-time with Natural Language Processing (AI).  Storyzy’s job is to monitor Fake News sites (false information, propaganda, conspiracy...) and develop a dynamic blacklist (1700+ sites, everyday new site entries) that is updated in real-time to prevent brands’ ads from appearing on these sites. For brands/advertisers and platforms, Storyzy ensures a safer advertising environment. Storyzy’s blacklist currently has 1700+ questionable sites (everyday new site entries), of which 500+ are extremist sites and has 10 different categories that allows filtering options; false information, extreme right, extreme left, hate, conspiracy, propaganda, pseudoscience, satire, clickbait and tabloid (receiving 1.5 B visits per month).",,,,,"Advertising, Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Internet Services, Media and Entertainment, Sales and Marketing, Software","Arnaud Jacolin, Pierre-Albert Ruquier, Ramón Ruti, Stanislas Motte",1,Seed,2016-08-30,900000,USD,900000,Seed,900000,USD,900000,Seed,900000,USD,900000,900000,USD,900000,,,,
CAR,https://www.crunchbase.com/organization/china-auto-rental-holdings,,"Automotive, Rental","Beijing, Beijing, China","CAR Inc., the largest car rental company in China and a Hong Kong Stock Exchange listed public company.","142,615",Asia-Pacific (APAC),Active,2007-09-01,day,2014-09-19,day,,,For Profit,http://en.zuche.com/,"CAR Inc. is a car rental service provider, CAR is dedicated to providing customers across China with superior car rental services including short-term rental, long-term rental and financial leasing, as well as assorted value-added services as roadside assistance, one-way rentals, etc. As of June 2014, they operated in 70 major cities, at 52 airports across China with over 717 service locations, serving more than 1 million individual customers and nearly 10,000 corporate clients.  Their nationwide service network covers major cities and tourist destinations in mainland China. Alongside with their well-developed website and 24/7 call centers, they provide 24-hour customer service delivering convenience, flexibility and value to their customers, serving to satisfy diversified customer needs as well as to support and ensure customers' safe driving.  Since establishment they have well received encouraging customer and social reviews nationwide. In 2008, CAR acted as the official car rental service provider of the 29th Summer Olympic Games, and was awarded the 21th Century Future Star by China Entrepreneur magazine. In 2009, CAR was listed one of Forbes China's Potential Enterprises. In 2010, CAR was named New Fortune's Highest Potential Business Model and China.com's Annual Best Car Rental Service. In 2011, CAR received the Best Service Award given by China Brand Festival, Best Car Rental Company by National Geographic Traveler and Harvard Business Review’s 5th Management Action Gold Award.",,,,,"Commerce and Shopping, Transportation",Zhengyao Lu,6,IPO,2020-11-11,228300000,USD,228300000,Post-IPO Equity,228300000,USD,228300000,Post-IPO Equity,578835885,USD,578835885,904435885,USD,904435885,"Legend Capital, Warburg Pincus, MBK Partners, BAIC Group, KPCB China","BAIC Group, Legend Capital, MBK Partners, Warburg Pincus",4,5
Lam Research,https://www.crunchbase.com/organization/lam-research,,"CleanTech, Manufacturing, Semiconductor","Fremont, California, United States",Lam Research supplies wafer fabrication equipment and services to the worldwide semiconductor industry.,"142,764","San Francisco Bay Area, Silicon Valley, West Coast",Active,1980-01-01,year,1984-05-11,day,,,For Profit,http://www.lamresearch.com,"Lam Research Corporation (Lam Research) is a supplier of wafer fabrication equipment and services to the worldwide semiconductor industry. Lam Research designs, manufactures, markets, refurbish, and services semiconductor processing equipment used in the fabrication of integrated circuits. The Company’s etch and clean technologies enable customers to build integrated circuits. Its etch systems shape the microscopic conductive and dielectric layers into circuits that define a chip’s final use and function. Its Customer Support Business Group (CSBG) provides products and services to maximize installed equipment performance and operational efficiency. Its customer base includes semiconductor memory, foundry, and integrated device manufacturers (IDMs) that make DRAM, NAND, and logic devices for these products.",,,,,"Hardware, Manufacturing, Science and Engineering, Sustainability",David Lam,,IPO,,,,,,,,,,,,,,,,,,,
Indium,https://www.crunchbase.com/organization/indium-corporation,,"Advanced Materials, Developer Platform, Manufacturing","Clinton, New York, United States","Indium is a premier materials supplier to the global electronics, semiconductor, thin film, and solar markets.","146,646","East Coast, Northeastern US",Active,1934-03-13,day,,,,,For Profit,http://www.indium.com/,"Indium Corporation is a premier materials supplier to the global electronics, semiconductor, thin film, thermal management, and solar markets. Products include solders, and fluxes; brazes; thermal interface materials; sputtering targets; indium, gallium, germanium, and tin metals and inorganic compounds; and NanoFoil®. Founded in 1934, Indium has global technical support and factories located in China, Malaysia, Singapore, South Korea, the United Kingdom, and the USA.",,,,,"Manufacturing, Science and Engineering, Software","Daniel Gray, J. Robert Dyer, William S. Murray",1,,1996-10-21,150000,USD,150000,Grant,,,,,,,,150000,USD,150000,NYSERDA,,,1
Clavister,https://www.crunchbase.com/organization/clavister,,"Cyber Security, Mobile, Network Security, Security","Örnsköldsvik, Vasternorrlands Lan, Sweden",Clavister is a leading European cybersecurity vendor with over 20 years of experience - seated in Sweden - customers in > 150 countries.,"147,137","European Union (EU), Nordic Countries, Scandinavia",Active,1997-01-01,year,2014-05-23,day,,,For Profit,http://www.clavister.com,"Clavister is one of Europe’s leading cybersecurity vendors, headquartered in Sweden, with over 20 years of experience. It has customers — communication service providers, governments, enterprises and managed security service providers (MSSP)—in over 150 countries and it provides unique security solutions in order for them to protect their digital assets and secure business continuity. The Clavister portfolio ranges from Identity Access Management (IAM) solutions and end-point to security software to network security products—both physical and virtualized for the cloud. The company is listed on the Swedish stock exchange Nasdaq First North under the ticker symbol CLAV.",,,,,"Information Technology, Mobile, Privacy and Security",John Vestberg,5,IPO,2025-11-27,167000000,SEK,17628176,Post-IPO Equity,167000000,SEK,17628176,Post-IPO Equity,33509533,USD,33509533,39074283,USD,39074283,"European Investment Bank, Claret Capital Partners, Industrifonden, SEB Venture Capital, Norrland Fund",European Investment Bank,1,5
Alleima,https://www.crunchbase.com/organization/alleima,,"Advanced Materials, Industrial Automation, Machinery Manufacturing, Manufacturing","Sandviken, Uppsala Lan, Sweden",Alleima manufactures and supplies stainless steels and special alloys.,"148,375","European Union (EU), Nordic Countries, Scandinavia",Active,1862-01-01,year,,,,,For Profit,https://www.alleima.com,"Alleima is a progressive customer partner and a sustainability driver, and we will advance industries through materials technology. These include hollow bar, round bar, rock drill steel, billets, blooms, coated strip steel, strip steel, tube, pipe, fittings, flanges, furnace products, and heating systems. Specialists advance processes and applications in some of the most demanding industries imaginable through close and long-standing customer partnerships.",,,,,"Manufacturing, Science and Engineering",,,,,,,,,,,,,,,,,,,,,,
Warrior Met Coal,https://www.crunchbase.com/organization/warrior-met-coal,,"Logistics, Manufacturing, Mining, Transportation","Brookwood, Alabama, United States",Warrior Met Coal is a leading producer and exporter of metallurgical coal for the global steel industry.,"148,771",Southern US,Active,2016-01-01,year,2017-04-13,day,,,For Profit,http://www.warriormetcoal.com/,"Warrior Met Coal is a leading producer and exporter of metallurgical coal for the global steel industry from underground mines located in Brookwood, Alabama, southwest of Birmingham and near Tuscaloosa.  These underground coal mines are 1,400 to 2,100 feet underground, making them some of the deepest vertical shaft coal mines in North America.  Metallurgical coal mined from the Blue Creek coal seam contains very low sulfur and has strong coking properties, making it ideally suited for steel makers.  Warrior Met Coal’s cost-efficient operations serve markets in the United Train-load-of-coal-ForWeb States, Europe, Asia, and South America via convenient barge and rail access to the Port of Mobile. The company currently has the operational capacity to mine about eight million tons of coal per year from more than 300 million tons of recoverable reserves.",,,,,"Manufacturing, Natural Resources, Transportation",,3,IPO,2025-09-02,143000000,USD,143000000,Post-IPO Debt,,,,,,,,643000000,USD,643000000,,,,
Arafura Resources,https://www.crunchbase.com/organization/arafura-resources,,Association,"Perth, Western Australia, Australia",Arafura Resources is an Australian company with a world class rare earths resource in the Northern Territory of Australia.,"150,718","Asia-Pacific (APAC), Australasia",Active,2003-01-01,year,2003-11-05,day,,,For Profit,http://www.arultd.com,Arafura Resources is an Australian company with a world class rare earths resource in the Northern Territory of Australia.,,,,,Other,,7,IPO,2025-01-15,200000000,AUD,124687968,Grant,32000000,USD,32000000,Post-IPO Equity,74528598,USD,74528598,499216566,USD,499216566,"Export Development Canada, Canaccord Genuity Group, National Reconstruction Fund Corporation, Bell Potter","Bell Potter, Canaccord Genuity Group, Export Development Canada, National Reconstruction Fund Corporation",4,4
Ramkrishna Forgings,https://www.crunchbase.com/organization/ramkrishna-forgings,,"Industrial, Industrial Engineering, Manufacturing","Kolkata, West Bengal, India",Ramkrishna Forgings is an organisation & highly skilled people with art manufacturing facilities & international levels of quality control.,"151,049",Asia-Pacific (APAC),Active,1981-11-12,day,2004-05-05,day,,,For Profit,http://ramkrishnaforgings.com,"Ramkrishna Forgings Limited was founded on 12th November, 1981. On a bed of integrity, fuelled by burning ambition. Years of staying true to their principles and tireless endeavour, they have produced rich results. They became a limited company on 25th May, 1995 and today they are an organisation manned by qualified and highly skilled people with state-of-the-art manufacturing facilities and international levels of quality control. Their Company is a supplier to various sectors like Domestic and Overseas market. They are also a critical safety item supplier for Screw Coupling, Bolster suspension, Side frame keys and Draw Gear Assembly for Railway Coaches and wagon. They are a preferred supplier for OEM's like TATA Motors, Ashok Leyland & VE Commercial and they are also a global supplier for companies like Meritor to name a few.",,,,,"Manufacturing, Science and Engineering","Mahabir prasad jalan, Naresh Jalan",2,IPO,2020-09-22,20000000,USD,20000000,Post-IPO Debt,,,,Post-IPO Equity,,,,20000000,USD,20000000,"International Finance Corporation, UTI Ventures","International Finance Corporation, UTI Ventures",2,2
Sandfire Resources NL,https://www.crunchbase.com/organization/sandfire-resources-nl,,"Industrial, Mining, Sustainability","Perth, Western Australia, Australia",Sandfire Resources NL is a dynamic mid-tier Australian mining and exploration company which is listed on the Australian Securities Exchange.,"152,085","Asia-Pacific (APAC), Australasia",Active,2003-06-18,day,2004-03-05,day,,,For Profit,https://www.sandfire.com.au,"Sandfire Resources is a copper mining company that provides core assets, including the MATSA Copper and the Motheo Copper Operations. It produces copper concentrates with valuable by-products. It advances the high-grade Black Butte Copper Project with a strong focus on sustainable mining.",,,,,"Manufacturing, Natural Resources, Sustainability",,1,IPO,2025-03-12,650000000,USD,650000000,Post-IPO Debt,,,,,,,,650000000,USD,650000000,"HSBC, Royal Bank of Canada, Santander, Standard Chartered Bank, JP Morgan Chase",,,11
KNDS,https://www.crunchbase.com/organization/knds,,"Machinery Manufacturing, Manufacturing, National Security, Physical Security, Security","Amsterdam, Noord-Holland, The Netherlands",KNDS provides and develops equipment and systems for the land defense industry.,"153,078","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2015-01-01,year,,,,,For Profit,https://www.knds.com/,"KNDS provides and develops equipment and systems for the land defense industry. It is an alliance of two companies that supplies goods to the armed forces. KNDS was founded in 2015 and is based in Amsterdam, Netherlands.",,,,,"Administrative Services, Government and Military, Manufacturing, Privacy and Security",,,,,,,,,,,,,,,,,,,,,,
Buenaventura,https://www.crunchbase.com/organization/buenaventura,,"Manufacturing, Mining, Sustainability","Lima, Lima, Peru",Buenaventura is a precious metals company and a major holder of mining rights.,"153,512",Latin America,Active,1953-01-01,year,1996-05-15,day,,,For Profit,https://buenaventura.com/,"Compania de Minas Buenaventura S.A.A. (Buenaventura) is a precious metals company. The Company is engaged in the exploration, mining and processing of gold, silver and other metals in Peru. The Company's segments include Production and sale of minerals; Exploration and development activities; Construction and engineering services; Energy generation and transmission services; Insurance brokerage; Rental of mining concessions; Holding of investment in shares (mainly in Minera Yanacocha S.R.L. and S.M.R.L. Chaupiloma Dos de Cajamarca), and Industrial activities.",,,,,"Manufacturing, Natural Resources, Sustainability",,1,IPO,2025-02-04,650000000,USD,650000000,Post-IPO Debt,,,,,,,,650000000,USD,650000000,,,,
Liontown,https://www.crunchbase.com/organization/liontown-resources,,"Battery, Mineral, Mining","Perth, Western Australia, Australia",Liontown is a battery metals exploration and development company that has expertise Lithium-Tantalum Project.,"156,004","Asia-Pacific (APAC), Australasia",Active,2006-01-01,day,2006-12-27,day,,,For Profit,https://www.ltresources.com.au,"Liontown Resources is a mineral exploration and development company that is focused on the development of high-quality lithium and tantalum projects, as well as an emerging gold, PGE, nickel, and copper project in Western Australia. The company's goal is to locate, develop, and supply battery minerals to the rapidly expanding Electric Vehicle and Energy Storage industries.",,,,,"Energy, Natural Resources",,3,IPO,2024-07-02,379000000,AUD,252746872,Post-IPO Debt,450000000,AUD,319833516,Post-IPO Equity,450000000,AUD,319833516,1379000000,AUD,935979371,"Societe Generale, LG Energy Solution, Commonwealth Bank of Australia, Clean Energy Finance Corporation, National Australia Bank",LG Energy Solution,1,6
National Aluminium Company,https://www.crunchbase.com/organization/national-aluminium-company,,"Mining, Precious Metals","Bhubaneswar, Orissa, India",National Aluminium Company is a largest integrated bauxite-alumina-aluminium- Power complex company.,"156,187",Asia-Pacific (APAC),Active,1981-01-07,day,,,,,For Profit,https://nalcoindia.com,"Globally, NALCO has achieved the distinction of being the ‘lowest cost producer of bauxite’ in the world for the year 2018 as per the latest report of Wood Mackenzie. This achievement adds to the fact that the company has maintained its status as the lowest cost producer of alumina globally since the last three years. With sustained quality products, the Company’s export earnings accounted for about 43% of the sales turnover in the year 2017-18 and the Company was rated 3rd highest net export earning CPSE in 2017-18 as per Public Enterprise Survey report. With its consistent track record in capacity utilization, technology absorption, quality assurance, export performance and posting profits, NALCO is a bright example of India’s industrial capability. NALCO is the first Public Sector Company in the country to venture into international market in a big way with London Metal Exchange (LME) registration since May, 1989. The Company is listed at Bombay Stock Exchange (BSE) since 1992 and National Stock Exchange (NSE) since 1999. Besides, ISO 9001, ISO 14001, OHSAS 18000 & SA 8000 certifications, the Company has also adopted ISO 50001 standards for Energy Management System.",,,,,Natural Resources,,,,,,,,,,,,,,,,,,,,,,
ThyssenKrupp Marine Systems,https://www.crunchbase.com/organization/thyssenkrupp-marine-systems,,"Manufacturing, Marine Technology","Kiel, Schleswig-Holstein, Germany","ThyssenKrupp Marine Systems has manufactures submarines, naval surface vessels, and yachts.","158,863","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2005-01-05,day,2025-10-20,day,,,For Profit,https://www.thyssenkrupp-marinesystems.com,"ThyssenKrupp Marine Systems has manufactures submarines, naval surface vessels, and yachts.",,,,,"Manufacturing, Science and Engineering",,,M&A,,,,,,,,,,,,,,,,,,,
Bharat Electronics,https://www.crunchbase.com/organization/bharat-electronics,,"Electronics, Government, Information Technology, Manufacturing, National Security, Service Industry","Bengaluru, Karnataka, India",Bharat Electronics operates as a state-owned aerospace and defense company.,"161,642",Asia-Pacific (APAC),Active,1954-01-01,year,,,,,For Profit,http://www.bel-india.in/,"Bharat Electronics operates as a state-owned aerospace and defense company that meets the specialized electronic needs of the Indian defence services. It has grown into a multi-product, multi-technology, multi-unit company serving the needs of customers in diverse fields in India and abroad. R&D engineers are engaged in the development of new products, technology modules, subsystems, processes, and components.",,,,,"Consumer Electronics, Government and Military, Hardware, Information Technology, Manufacturing, Other",Venkateswara Gowtama Mannava,,,,,,,,,,,,,,,,,,,,,
Rafael Advanced Defense Systems,https://www.crunchbase.com/organization/rafael-advanced-defense-systems,,"Enterprise, Manufacturing, National Security, Security","Haifa, Hefa, Israel",Rafael develops and manufactures advanced defense systems for the Israeli Defense Forces.,"163,854","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",Active,1948-01-01,year,,,,,For Profit,http://www.rafael.co.il,"Rafael Advanced Defense Systems Ltd, designs, develops, manufactures and supplies a wide range of high-tech defense systems for air, land, sea and space applications for the Israeli Defense Forces and the defense establishment, as well as for foreign customers around the world. Rafael Advanced Defense Systems offers its customers a diversified array of innovative solutions at the leading edge of global technology, from underwater systems through naval, ground, and air superiority systems to space systems. Rafael Advanced Defense Systems is the largest employer in Northern Israel with approximately 7,000 employees and numerous subcontractors and service suppliers.Rafael Advanced Defense Systems is Israel’s second largest defense company, with 2015 sales of 2,018 Billion Dollars, an order backlog of 4,959 Billion Dollars and a net profit of 118 Million Dollars.",,,,,"Government and Military, Manufacturing, Other, Privacy and Security",,,,,,,,,,,,,,,,,,,,,,
Metallus,https://www.crunchbase.com/organization/metallus-ae57,,"Industrial, Industrial Engineering, Manufacturing","Canton, Ohio, United States","Metallus researches, develops, manufactures, and sells metal products and seamless mechanical tubes.","165,252","Great Lakes, Midwestern US",Active,2014-01-01,year,2014-06-20,day,,,For Profit,https://metallus.com,,,,,,"Manufacturing, Science and Engineering",Randall Wotring,1,IPO,2024-08-07,3500000,USD,3500000,Grant,,,,,,,,3500000,USD,3500000,JobsOhio,JobsOhio,1,1
Agnico-Eagle Mines Limited,https://www.crunchbase.com/organization/agnico-eagle-mines-limited,,"Mineral, Mining Technology, Precious Metals","Toronto, Ontario, Canada",Agnico Eagle Mines Limited (Agnico Eagle) is a Canada-based international gold producer,"170,800",Great Lakes,Active,1953-01-01,year,1978-01-13,day,,,For Profit,http://agnicoeagle.com,"Agnico Eagle Mines Limited (Agnico Eagle) is a Canada-based international gold producer with mining operations in northwestern Quebec, northern Mexico, northern Finland and Nunavut and exploration activities in Canada, Europe, Latin America and the United States. The Company operates in four segments: Canada, Europe, Latin America and Exploration. The Company’s mines and mine projects include LaRonde mine, Lapa mine, Goldex mine project, Kittila mine, Pinos Altos mine, La India mine project and Meadowbank mine. Effective March 22, 2013, the Company acquired a 9.271% interest in Atac Resources Ltd. In April 2013, it acquired an 11.074% stake in Sulliden Gold Corp Ltd. In May 2013, it acquired the entire share capital of Urastar Gold Corp.",,,,,Natural Resources,Paul Penna,,IPO,,,,,,,,,,,,,,,,,,,
Ratnamani Metals & Tubes,https://www.crunchbase.com/organization/ratnamani-metals-tubes,,"Industrial Engineering, Manufacturing, Mechanical Engineering","Ahmedabad, Gujarat, India",Ratnamani Metals & Tubes is a tubes and pipes are supplied in accordance Company.,"171,723",Asia-Pacific (APAC),Active,1983-01-01,year,2006-05-12,day,,,For Profit,https://www.ratnamani.com/,"Ratnamani Metals & Tubes is a tubes and pipes are supplied in accordance Company.At Ratnamani, tubes and pipes are supplied in accordance with appropriate International Standards as well as Customer Specifications in a large variety of steel grades and dimensions. Client specific requirements on technical parameters are offered on request. Ratnamani ensures high degree of flexibility in production-planning to meet Customer’s urgent delivery requirements. The company's unflinching commitment to quality and services has ensured client loyalty.",,,,,"Manufacturing, Science and Engineering",Prashant Sanghvi,1,IPO,2024-12-04,2618000000,INR,30906409,Post-IPO Secondary,,,,,,,,2618000000,INR,30906409,"SBI Mutual Fund, Tata Mutual Fund",SBI Mutual Fund,1,2
Macmahon,https://www.crunchbase.com/organization/macmahon,,"Industrial Engineering, Mining, Precious Metals","Perth, Western Australia, Australia",Macmahon provides contract mining services to clients.,"171,792","Asia-Pacific (APAC), Australasia",Active,1963-01-01,year,1983-12-01,day,,,For Profit,http://www.macmahon.com.au,"Macmahon provides contract mining services to clients in Australia, New Zealand, South East Asia, and Africa. It operates through three segments: Surface Mining, Underground Mining, and International Mining. The company offers surface mining services, including mine planning and management, drilling and blasting, bulk and selective mining, crushing and screening, fixed plant maintenance, camp and mine management, train loadout management, and operation and maintenance of client equipment. It also provides underground mining services, such as mine management, underground development and production, portal establishment, raise drilling, cable bolting, shot creting, remote shaft lining, production drilling, and shaft sinking services. In addition, the company offers plant, maintenance, and engineering services, which include commissioning, shutdown, and maintenance management; operation and maintenance of client-owned plant and infrastructure; water management and tailings dam maintenance services; modification to existing plant to suit clients’ needs; design, construction, commission, and maintenance of crushing and screening plants; fabrication, installation, and maintenance of structural, mechanical, mining, and electrical plant and equipment for surface and underground clients; and specialized engineering services.",,,,,"Manufacturing, Natural Resources, Science and Engineering",Brian Macmahon,2,IPO,2025-06-19,550000000,AUD,356711098,Post-IPO Debt,152000000,USD,152000000,Post-IPO Equity,152000000,USD,152000000,508711098,USD,508711098,MedcoEnergi,MedcoEnergi,1,1
Murata Manufacturing,https://www.crunchbase.com/organization/murata-electronics-north-america,,"Electronics, Energy Management, Manufacturing","Kyoto, Kyoto, Japan","Murata designs and manufactures consumer electronics, automobile-related applications, energy management systems, and healthcare equipment.","172,689",Asia-Pacific (APAC),Active,1944-01-01,year,1969-12-01,day,,,For Profit,http://www.murata.com/,"Murata designs and manufactures consumer electronics, automobile-related applications, energy management systems, and healthcare equipment. Its product portfolio includes products in the categories of smart homes, mobile communications, lighting, industrial equipment, networking, business machine, AV equipment, security and safety, automobile, capacitor, inductors, sensors, timing device, micro-mechanics, RFID devices, balun, couplers, filters, front-end modules, circuit boards, and more.",,,,,"Consumer Electronics, Energy, Hardware, Manufacturing",Akira Murata,,IPO,,,,,,,,,,,,,,,,,,,
HAVELSAN,https://www.crunchbase.com/organization/havelsan,,"Cyber Security, Information and Communications Technology (ICT), Software","Ankara, Ankara, Turkey","HAVELSAN is a software, and systems company provides global solutions in defense, and IT sectors.","172,844","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",Active,1982-01-01,day,,,,,For Profit,https://www.havelsan.com.tr/,"HAVELSAN is a software, and system integrator company affiliated with the turkish armed forces foundation, offering global solutions in the defense, and informatics sectors. HAVELSAN develops command, and control systems, war management systems, simulation, and training technologies, management information systems, cyber security, homeland security, and e government solutions.",,,,,"Information Technology, Privacy and Security, Software",,,,,,,,,,,,,,,,,,,,,,
Konami,https://www.crunchbase.com/organization/konami,,"Digital Entertainment, Fitness, Gambling, Health Care, Software, Toys, Video Games","Tokyo, Tokyo, Japan","Konami develops, markets, and distributes video game software products for stationary and portable consoles, and personal computers.","173,535",Asia-Pacific (APAC),Active,1969-03-21,day,1988-02-19,day,,,For Profit,https://www.konami.com/en/,"Konami develops, publishes, markets, and distributes video game software products for stationary and portable consoles, and personal computers. It operates through four segments: digital entertainment, health and fitness, gaming and systems, and pachinko and pachinko slot machines. Its digital entertainment segment distributes contents for mobile sites and application stores; produces and builds computer systems related to online games; maintains and operates online servers; and produces online games as well as plans, produces, and sells music and video package products.  Konami’s health and fitness segment operates health and fitness clubs and the gaming and systems segment develops and sells content, hardware, and casino management systems for gaming machines for casinos. Its pachinko and pachinko slot machines segment produces, manufactures, and sells pachinko machines and pachinko slot machines. Konami was founded in 1969 and is headquartered in Tokyo, Japan with offices in El Segundo, California.",,,,,"Consumer Goods, Gaming, Health Care, Media and Entertainment, Software, Sports",Kagemasa Kozuki,,IPO,,,,,,,,,,,,,,,,,,,
Telenor,https://www.crunchbase.com/organization/telenor,,"Public Relations, Telecommunications","Fornebu, Akershus, Norway","Telenor is a telecommunications company focused on mobile communication, fixed line communication, and TV-based activities.","174,062","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",Active,1885-01-01,year,2007-06-11,day,,,For Profit,http://www.telenor.com,"Telenor is a telecommunications company focused on mobile communication, fixed line communication, and TV-based activities. The company’s mobile communication activities include voice, data, Internet, and content services, as well as customer equipment and electronic commerce, while its fixed network activities include analog PSTN, digital ISDN, broadband telephony, xDSL, Internet, and leased lines, as well as other communication solutions. The company’s TV-based operations include satellite dish, cable TV-networks, and satellite master antenna TV-networks systems.  Telenor was founded in 1885 and is headquartered in Fornebu, Norway.",,Government Office,,,"Hardware, Sales and Marketing",,,IPO,,,,,,,,,,,,,,,,,,,
Dassault Aviation,https://www.crunchbase.com/organization/dassault-aviation,,"Aerospace, Innovation Management, Manufacturing, National Security","Saint-cloud, Ile-de-France, France","Dassault Aviation is an aircraft manufacturer of military, regional, and business jets.","174,450","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1929-01-01,year,1999-04-01,day,,,For Profit,http://www.dassault-aviation.com/en/,"Dassault Aviation is an extremely proactive Company built on solid foundations, with innovation and customer satisfaction as its prime objectives. Although faced with powerful competition, they have always been able to take on this challenge by proposing products that stand out for their performance and quality.  Alongside Loïk Segalen, the Chief Operating Officer, our permanent ambition is to develop the civil and military expertise of this jewel in the crown of the aviation industry, while promoting major partnerships. In a word, Dassault Aviation remains a high-tech, fundamentally export-driven Company that is open to the world and turned toward the future.  Each of their aircraft embodies their mastery of the most advanced technologies, put to the service of our clients. These technologies contribute to our customers’ independence and their management of time, space, decisions and actions, worldwide. Their longevity is founded on pragmatic technical and industrial choices that respect ethical, social and environmental imperatives.  As a pivotal part of a high value-added strategic industry, Dassault Aviation plays its part in the development of the activity of a wide range of high-flying companies, laboratories and teaching establishments. Thanks to the skills and experience of their teams, the know-how that they develop is unique in Europe, and shared with numerous French and international partners. Over 8,000 aircraft delivered worldwide since 1945, Over 28 million hours of flight time, 11,600 employees, more than 9,000 based in France. 72% of their aircraft produced over the past 50 years have been exported.",,,,,"Government and Military, Manufacturing, Professional Services, Science and Engineering",Marcel Bloch,,IPO,,,,,,,,,,,,,,,,,,,
Pilbara Minerals,https://www.crunchbase.com/organization/pilbara-minerals,,Mining,"Perth, Western Australia, Australia",Pilgangoora has been confirmed as one of the largest spodumene (lithium pyroxene) and tantalite projects in the world .,"175,005","Asia-Pacific (APAC), Australasia",Active,2005-01-01,year,2007-09-19,day,,,For Profit,http://pilbaraminerals.com.au,"Pilbara Minerals is an emerging lithium and tantalum producer focused on the development of its world-class 100% owned Pilgangoora Lithium-Tantalum Project, located approximately 120kms from Port Hedland in the Pilbara region of Western Australia. Pilgangoora has been confirmed as one of the largest spodumene (lithium pyroxene) and tantalite projects in the world and is set to be developed into one of the world’s largest lithium mines, also producing tantalite as a valuable by-product. Pilbara’s aim is to  fast-track Pilgangoora towards production to capitalise on the widely anticipated shortfall of lithium in global markets over the next decade, with the project on-track to commence commissioning by the end of 2017.",,,,,Natural Resources,"Nick Kephala, Stephen Hobbs",3,IPO,2019-09-05,91500000,AUD,62327492,Post-IPO Equity,91500000,AUD,62327492,Post-IPO Equity,103708031,AUD,71257999,103708031,AUD,71257999,Contemporary Amperex Technology,Contemporary Amperex Technology,1,1
Axter Aerospace,https://www.crunchbase.com/organization/axter-aerospace,,"Aerospace, Air Transportation, Manufacturing, Transportation","Leganés, Madrid, Spain",Axter Aerospace develops and manufacture hybrid and full electric propulsion systems for airplanes.,"176,870","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2011-01-01,year,,,,,For Profit,http://axteraerospace.com/,"Axter Aerospace develops and manufacture hybrid and full electric propulsion systems for airplanes. The idea came about in 2011 when two engineers, one of them a pilot, discovered that the aeronautical industry had still not delivered the answer to preventing accidents caused by engine failure. From this moment on, AXTER began working on the problem of how to provide quality solutions to the industry. he first step was to develop hybrid propulsion technology for aviation by creating the first prototype of a hybrid system designed to avoid accidents caused by engine failure. In the summer of 2014, AXTER carried out its first flight of an ultra-light airplane with the AX-40S hybrid propulsion system, and in the spring of 2015 AXTER launched the product to the market. Today, apart from marketing the AX-40S hybrid system, AXTER also offers products and technology dealing with electric propulsion. Its dedicates the majority of it efforts to innovating and advancing current technology.",,,,,"Manufacturing, Science and Engineering, Transportation",Miguel Ángel Suárez Sánchez,2,,2019-05-24,,,,Non-equity Assistance,,,,,,,,50000,EUR,56064,"EISMEA, Desafia","Desafia, EISMEA",2,2
