Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Website,Investor Type,Top 5 Investors,Lead Investors,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Founders,Primary Industry,Primary Industry URL,Industry Groups
DOWA Holdings,https://www.crunchbase.com/organization/dowa,,"Environmental Engineering, Industrial, Industrial Engineering, Manufacturing, Precious Metals, Recycling","Tokyo, Tokyo, Japan",DOWA Holdings operates several businesses ranging from the production of metal to waste treatment and recycling.,"701,527",,https://www.dowa.co.jp/,,,,,,,Denzaburo Fujita,,,"Manufacturing, Natural Resources, Science and Engineering, Sustainability"
Mitsubishi Materials,https://www.crunchbase.com/organization/mitsubishi-materials,,"Building Material, Manufacturing","Tokyo, Tokyo, Japan","Mitsubishi Materials Corporation is a Japanese company. It is a manufacturer of cement, copper, and aluminum products.","717,516",$10B+,http://www.mmc.co.jp/corporate/en/,,,,,,,Yataro Iwasaki,,,"Manufacturing, Real Estate"
CASIC,https://www.crunchbase.com/organization/casic-capital,,"Asset Management, Finance, Financial Services","Beijing, Beijing, China",CASIC Capital is a fund management platform.,"925,252",,http://casicfund.com/,,,,,,,,,,Financial Services
China Shenhua Energy Company,https://www.crunchbase.com/organization/china-shenhua-energy-company,,"Clean Energy, Energy","Beijing, Beijing, China","China Shenhua Energy focuses on production of coal, transportation of coal-related materials as well as power generation and sales.","979,211",$10B+,http://en.shenhuachina.com,,,,,,,,,,"Energy, Sustainability"
Vital Materials,https://www.crunchbase.com/organization/vital-materials,,"Industrial, Manufacturing, Recycling","Guangzhou, Guangdong, China","Vital Materials specializes in R&D, manufacturing, sales, and recycling services of minor metals.","1,164,924",$1M to $10M,https://vitalchem.com,,,,,,,,,,"Manufacturing, Sustainability"
Xinte Energy,https://www.crunchbase.com/organization/xinte-energy,,"Clean Energy, Energy, Manufacturing, Renewable Energy, Solar","Ürümqi, Xinjiang, China","Xinte Energy is specialized in producing photovoltaic energy products, ceramics, zirconium, and other products.","1,273,670",,https://www.xinteenergy.com,,,,,,,,,,"Energy, Manufacturing, Natural Resources, Sustainability"
Nexa Technologies,https://www.crunchbase.com/organization/nexa-technologies,,"Financial Services, Software","Richardson, Texas, United States","Nexa is a pioneer trading technology provider, offering innovative trading solutions.","1,289,141",,http://home.nexatechnologies.com,,,,,,,,,,"Financial Services, Software"
Colt CZ Group,https://www.crunchbase.com/organization/colt-cz-group,,"Manufacturing, Sporting Goods, Wholesale","Prague, Hlavni mesto Praha, Czech Republic","Colt CZ Group designs and manufactures small arms and accessories across Colt, CZ, Colt Canada, and Dan Wesson brands.","2,073,384",$500M to $1B,https://www.coltczgroup.com,,,,,,,,,,"Commerce and Shopping, Manufacturing, Sports"
NeoPerformance,https://www.crunchbase.com/organization/neoperformance,,,"Rio, Rio de Janeiro, Brazil",NeoPerformance provide Marketing Services.,"2,447,820",,https://neoperformance.com,,,,,,,,,,
Norincogroup,https://www.crunchbase.com/organization/norincogroup,,"Chemical, Construction, Electric Vehicle, Mining, Textiles","Beijing, Beijing, China","Norincogroup is an enterprise company that offers mining, metals, iron, and steel services for business.","2,450,261",,http://www.norincogroup.com.cn,,,,,,,,,,"Manufacturing, Natural Resources, Real Estate, Science and Engineering, Transportation"
Raytheon Missile Systems,https://www.crunchbase.com/organization/raytheon-missile-systems,,"Manufacturing, National Security","Tucson, Arizona, United States",Raytheon Missile Systems Company engages in the development and production of missile systems for the armed forces.,"2,712,944",$10M to $50M,https://www.rtx.com/raytheon/,,,,,,,,,,"Government and Military, Manufacturing"
Intel,https://www.crunchbase.com/organization/intel-gold-technology-provider,,"Computer, GPU, Hardware, Information Technology, Manufacturing","Santa Clara, California, United States","The only Intel partner north of King County, 3D Corporation has been recognized as a committed integrated solution provider.","3,027,107",$10B+,http://www.intel.com,,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Manufacturing"
Alcoa Warrick,https://www.crunchbase.com/organization/alcoa-warrick-operations,,"Mining, Power Grid, Precious Metals","Newburgh, Indiana, United States",Alcoa Warrick is one of the producers of aluminum sheet for the food and beverage industry.,"3,100,269",,https://www.alcoa.com/,,,,,,,,,,"Energy, Natural Resources"
Comec,https://www.crunchbase.com/organization/comec,,"Boating, Industrial Manufacturing, Manufacturing, Rental","Haizhu, Hainan, China","Comec manufactures and markets ships, containers, large steel structures, fiberglass boats, ships, and land-use machines.","3,195,405",,http://comec.cssc.net.cn,,,,,,,,,,"Commerce and Shopping, Manufacturing, Sports"
Uralvagonzavod,https://www.crunchbase.com/organization/uralvagonzavod,,"Automotive, Manufacturing, Military","Moscow, Moscow City, Russian Federation","Uralvagonzavod manufactures hopper cars, wagons, armored recovery vehicles, couplers, railway tanks, and fire support combat vehicles.","3,602,434",$100M to $500M,http://uralvagonzavod.ru/,,,,,,,,,,"Government and Military, Information Technology, Manufacturing, Transportation"
Hoshine Silicon,https://www.crunchbase.com/organization/hoshine-silicon,,"Chemical, Manufacturing, Oil and Gas","Pinghu, Zhejiang, China",Hoshine Silicon is a manufacturer of chemical products.,"3,621,721",,http://www.hoshinesilicon.com,,,,,,,,,,"Energy, Manufacturing, Natural Resources, Science and Engineering"
Indian Rare Earths,https://www.crunchbase.com/organization/indian-rare-earths,,"Chemical, Government, Mineral, Mining","Mumbai, Maharashtra, India","Indian Rare Earths is a mining company that offers ilmenite, minerals, chemicals, rare earths, and zircon.","3,781,608",Less than $1M,https://www.irel.co.in,,,,,,,,,,"Government and Military, Natural Resources, Science and Engineering"
Zhuzhou Smelter Group,https://www.crunchbase.com/organization/zhuzhou-smelter-group,,"Chemical, Industrial Manufacturing, Manufacturing, Mineral","Zhuzhou, Hunan, China",Smelter Group is a manufacturer and distributor of nonferrous metal products and chemical products.,"3,895,972",,http://www.torchcn.com,,,,,,,,,,"Manufacturing, Natural Resources, Science and Engineering"
Recylex,https://www.crunchbase.com/organization/recylex,,"Manufacturing, Recycling","Paris, Ile-de-France, France","Recylex specializes in recycling lead and polypropylene (from car and industrial batteries), zinc from electric steel dust.","3,911,083",,http://www.recylex.eu/,,,,,,,,,,"Manufacturing, Sustainability"
